encuesta_id,estudiante_id,id_profesor,id_materia,fecha,pregunta_id,enunciado,respuesta
1,206,501,1,2020-09-22,1,Las herramientas de I.A. me ayudaron a resolver mis dudas de manera efectiva en esta materia.,3
1,206,501,1,2020-09-22,2,"Al utilizar herramientas de I.A. en esta materia, pude mejorar mi comprensiÃ³n del material del curso.",4
1,206,501,1,2020-09-22,3,"Las herramientas de I.A. utilizadas en esta materia, me permitieron explorar y profundizar en temas de manera efectiva.",2
1,206,501,1,2020-09-22,4,"Las herramientas de I.A. utilizadas en esta materia, fomentaron mi creatividad e innovaciÃ³n.",1
1,206,501,1,2020-09-22,5,"Las herramientas de I.A. utilizadas en esta materia, aumentaron mi productividad.",2
1,206,501,1,2020-09-22,6,"Las herramientas de I.A. utilizadas en esta materia, me ayudaron a encontrar respuestas de forma mÃ¡s rÃ¡pida que otros recursos disponibles (como el buscador de Google).",4
1,206,501,1,2020-09-22,7,"Las herramientas de I.A. utilizadas en esta materia, fueron Ãºtiles para la evaluaciÃ³n de mi conocimiento.",1
1,206,501,1,2020-09-22,8,"Al utilizar herramientas de I.A. en esta materia, pude mejorar mi formaciÃ³n universitaria.",2
1,206,501,1,2020-09-22,9,Recomiendo el uso de herramientas de I.A. a otros estudiantes para esta materia.,4
1,206,501,1,2020-09-22,10,"El ChatGPT utilizado en esta materia, fue una herramienta Ãºtil para mejorar mi interacciÃ³n con mis compaÃ±eros de clase.",3
1,206,501,1,2020-09-22,11,"El ChatGPT utilizado en esta materia, fue una herramienta Ãºtil para mejorar mi interacciÃ³n con el docente.",4
1,206,501,1,2020-09-22,12,Obtuve respuestas adecuadas a mis preguntas en ChatGPT utilizado en esta materia.,3
1,206,501,1,2020-09-22,13,El ChatGPT fue una herramienta confiable para el aprendizaje en esta materia.,4
1,206,501,1,2020-09-22,14,"El ChatGPT utilizado en esta materia, mejorÃ³ mi capacidad para aplicar los conocimientos adquiridos a situaciones prÃ¡cticas.",4
1,206,501,1,2020-09-22,15,"El uso de ChatGPT utilizado en esta materia, mejorÃ³ mi capacidad para realizar investigaciones acadÃ©micas.",3
1,206,501,1,2020-09-22,16,"Cuando utilicÃ© herramientas de I.A. como ChatGPT en prÃ¡cticas, tareas o proyectos en esta materia, incluÃ­ las referencias bibliogrÃ¡ficas.",1
1,206,501,1,2020-09-22,17,El docente de esta materia demostrÃ³ que domina herramientas de I.A.,2
